Bailando en casa,15.2,@usuario1,23000,2023-09-01,bailes,diversión,tendencias,
Tutorial de maquillaje,40.1,@usuario2,150000,2023-08-30,maquillaje,tutorial,belleza,
Receta rápida de pasta,58.5,@usuario3,120000,2023-08-28,comida,recetas,fácil,
Perro bailando salsa,0,@usuario4,55000,2023-08-25,animales,bailes,diversión,
Cómo hacer ejercicio en casa,45.9,@usuario5,99000,2023-08-22,fitness,ejercicio,salud,
Trucos de fotografía,35.4,@usuario6,87000,2023-08-20,fotografía,trucos,creatividad,
Baile en la playa,25.6,@usuario7,105000,2023-08-18,bailes,playa,verano,
Desafío de comedia,0,@usuario8,300000,2023-08-15,comedia,desafío,diversión,
Viaje a la montaña,60.0,@usuario9,65000,2023-08-12,viajes,aventura,naturaleza,
Gato hablando,10.5,@usuario10,78000,2023-08-10,animales,gato,gracioso,cariñoso
Vlog de un día en mi vida,120.3,@usuario11,180000,2023-08-08,vlog,diario,vida,
Rutina de cuidado facial,50.7,@usuario12,94000,2023-08-06,belleza,skincare,cuidado,
Reseña de un videojuego,35.0,@usuario13,130000,2023-08-04,videojuegos,reseña,opinión,
Tips para estudiar,0,@usuario14,61000,2023-08-02,educación,tips,estudio,
Baile en la azotea,18.6,@usuario15,91000,2023-07-30,bailes,ciudad,atardecer,
Receta de pastel de chocolate,42.5,@usuario16,76000,2023-07-28,comida,recetas,postre,
Entrenamiento rápido,25.0,@usuario17,42000,2023-07-25,fitness,ejercicio,rápido,
Desafío de bromas,33.3,@usuario18,140000,2023-07-23,bromas,desafío,gracioso
Peinados fáciles,40.2,@usuario19,102000,2023-07-21,belleza,peinados,tutorial,
Tour por mi habitación,55.8,@usuario20,67000,2023-07-19,vlog,decoración,hogar,
Manualidades para niños,0,@usuario21,89000,2023-07-17,manualidades,niños,educación
Gato jugando con agua,12.0,@usuario22,50000,2023-07-15,animales,gato,gracioso
Reseña de una película,38.1,@usuario23,71000,2023-07-13,cine,reseña,opinión,
Baile en el parque,28.7,@usuario24,134000,2023-07-11,bailes,parque,diversión,
Tutorial de dibujo,65.2,@usuario25,92000,2023-07-09,arte,dibujo,tutorial,
Desafío de comida picante,23.8,@usuario26,88000,2023-07-07,comida,desafío,picante,
Receta de pizza casera,48.3,@usuario27,115000,2023-07-05,comida,recetas,pizza,
Reacción a un video viral,15.9,@usuario28,78000,2023-07-03,reacción,video viral,tendencias,
Trucos de edición de video,35.6,@usuario29,54000,2023-07-01,video,edición,tutorial,
Baile en grupo,20.0,@usuario30,170000,2023-06-29,bailes,grupo,coreografía
